Date,MSFT,AAPL,AMZN,SP 500
9/27/12,30.16,24.33,256.59,144.64
9/28/12,29.76,23.83,254.32,143.97
10/1/12,29.49,23.55,252.01,144.35
10/2/12,29.66,23.62,250.6,144.5
10/3/12,29.86,23.98,255.92,145.09
10/4/12,30.03,23.81,260.47,146.13
10/5/12,29.85,23.31,258.51,146.14
10/8/12,29.78,22.79,259.06,145.64
10/9/12,29.28,22.71,250.96,144.2
10/10/12,28.98,22.89,244.99,143.28
10/11/12,28.95,22.43,244.22,143.36
10/12/12,29.2,22.49,242.36,142.89
10/15/12,29.51,22.67,244.18,144.08
10/16/12,29.49,23.21,243.94,145.54
10/17/12,29.59,23.02,247.49,146.2
10/18/12,29.5,22.59,244.85,145.82
10/19/12,28.64,21.78,240,143.39
10/22/12,28,22.64,233.78,143.41
10/23/12,28.05,21.91,234.31,141.42
10/24/12,27.9,22.03,228.49,141.02
10/25/12,27.88,21.77,222.92,141.43
10/26/12,28.21,21.57,238.24,141.35
10/31/12,28.54,21.26,232.89,141.35
11/1/12,29.52,21.3,232.14,142.83
11/2/12,29.5,20.6,232.42,141.56
11/5/12,29.63,20.88,234.33,141.85
11/6/12,29.86,20.82,237.56,142.96
11/7/12,29.08,19.93,232.06,139.72
11/8/12,28.81,19.21,227.35,138.04
11/9/12,28.83,19.54,226.31,138.16
11/12/12,28.22,19.39,226.47,138.26
11/13/12,27.09,19.39,226.6,137.79
11/14/12,26.84,19.17,222.95,135.93
11/15/12,26.66,18.77,220.6,135.7
11/16/12,26.52,18.85,225.23,136.37
11/19/12,26.73,20.2,229.71,139.13
11/20/12,26.71,20.03,233.78,139.19
11/21/12,26.95,20.06,238.03,139.45
11/23/12,27.7,20.41,239.88,141.35
11/26/12,27.39,21.05,243.62,141.05
11/27/12,27.08,20.89,243.4,140.33
11/28/12,27.36,20.82,247.11,141.46
11/29/12,26.95,21.05,251.27,142.12
11/30/12,26.62,20.9,252.05,142.16
12/3/12,26.43,20.94,250.33,141.45
12/4/12,26.37,20.57,252.49,141.25
12/5/12,26.67,19.24,253.96,141.5
12/6/12,26.73,19.54,253.37,141.98
12/7/12,26.46,19.04,253.27,142.41
12/10/12,26.94,18.92,247.77,142.47
12/11/12,27.32,19.34,250.69,143.44
12/12/12,27.24,19.25,251.76,143.51
12/13/12,27.11,18.92,251.25,142.63
12/14/12,26.81,18.21,249.19,142.11
12/17/12,27.1,18.53,253.86,143.77
12/18/12,27.56,19.07,260.4,145.37
12/19/12,27.31,18.8,257.99,144.29
12/20/12,27.68,18.63,261.5,145.12
12/21/12,27.45,18.55,256.92,142.79
12/24/12,27.06,18.58,258.62,142.35
12/26/12,26.86,18.32,248.63,141.75
12/27/12,26.96,18.4,248.31,141.56
12/28/12,26.55,18.2,245.18,140.03
12/31/12,26.71,19.01,250.87,142.41
1/2/13,27.62,19.61,257.31,146.06
1/3/13,27.25,19.36,258.48,145.73
1/4/13,26.74,18.82,259.15,146.37
1/7/13,26.69,18.71,268.46,145.97
1/8/13,26.55,18.76,266.38,145.55
1/9/13,26.7,18.47,266.35,145.92
1/10/13,26.46,18.7,265.34,147.08
1/11/13,26.83,18.58,267.94,147.07
1/14/13,26.89,17.92,272.73,146.97
1/15/13,27.21,17.35,271.9,147.07
1/16/13,27.04,18.07,268.93,147.05
1/17/13,27.25,17.95,270.48,148
1/18/13,27.25,17.86,272.12,148.33
1/22/13,27.15,18.03,270.19,149.13
1/23/13,27.61,18.36,268.11,149.37
1/24/13,27.63,16.09,273.62,149.41
1/25/13,27.88,15.71,283.99,150.25
1/28/13,27.91,16.07,276.04,150.07
1/29/13,28.01,16.37,260.35,150.66
1/30/13,27.85,16.32,272.76,150.07
